"nombreLugar","networkIp","cidr","wanIp","wanCidr","wanIp1","wanIp2","wanBroadcast","enlace"
"OFICINAS CENTRALES DE LA CCSS, EN SAN JOSE, SOBRE AVENIDA SEGUNDA, EN EL NODO DE LA CCSS.","0.0.0.0","0","0.0.0.0","0","","","","17302482"
"IDC Guatuzo","0.0.0.0","0","0.0.0.0","0","","","","17301161"
"CODISA ASOCIADO A LA OST 98122450","0.0.0.0","0","0.0.0.0","0","","","","17301466"
"HOSPITAL DE HEREDIA SAN VICENTE DE PAUL","0.0.0.0","0","0.0.0.0","0","","","","17312890"
"IDC GUSTUZO ","0.0.0.0","0","0.0.0.0","0","","","","17313075"
"LA URUCA, SAN JOSE. HOSPITAL MEXICO.","0.0.0.0","24","0.0.0.0","30","","","","17312033"
"Guanacaste, Puesto de Visita Periódica de Roblar Nicoya, costado Sur de la  plaza de deportes ","0.0.0.0","24","0.0.0.0","30","","","","17313699"
"CARTAGO LA UNION SAN RAFAEL, NUEVA SEDE AREA DE SALUD DE LA CCSS, CONTACTO EN SITIO STEVEN ALVAREZ TELFONO 88393398","10.146.0.0","16","192.168.20.44","30","","","","17313002"
"CARTAGO LA UNION SAN RAFAEL, NUEVA SEDE AREA DE SALUD DE LA CCSS, CONTACTO EN SITIO STEVEN ALVAREZ TELFONO 88393398","10.146.0.0","16","192.168.20.44","30","","","","17311939"
"HOSPITAL CARLOS LUIS VALVERDE 400M NORTE DE LA PARROQUIA
","10.71.0.0","16","192.168.27.140","30","","","","17348440"
"LIBERIA. CSUCURSAL CCSS. PRIMER PISO DE PLAZA LIBERIA. DOS LOCALES CONTIGUO A TIENDA LA GLORIA","10.10.13.5","24","192.168.28.156","30","","","","17333690"
"EN EL NUEVO LOCAL DE LA SUCURSAL DE NICOYA, GUANACASTE, DEL PUENTE DE RIO GRANDE 20 SUR, FRENTE A LA GASOLINERA BARRANTES Y VARGAS.","10.10.13.5","24","192.168.28.156","30","","","","17334190"
"San Jose, Distrito El Carmen, Barrio La California, Contiguo al Cine Magaly","0.0.0.0","24","10.42.233.0","24","","","","17313625"
"Ideas Gloris S.A. Oficentro Tecnológico CODISA
","0.0.0.0","24","172.27.137.0","30","","","","17302549"
"OFICINAS CENTRALES DE LA CCSS","0.0.0.0","30","181.193.124.24","30","","","","17369150"
"Hospital de Alajuela","0.0.0.0","24","192.168.11.104","30","","","","17301893"
"ALAJUELA, NARANJO EN LA NUEVA SEDE DEL AREA DE SALUD. CONTACTO EN SITIO ALEJANDRO DELGADO CASTRO TEL 70211681","10.157.0.0","16","192.168.11.40","30","","","","17301437"
"NUEVA SEADE DE AREA DE SALUD NARANJO ALAJUELA CONTACTO EN SITIO ALEJANDRO DELGADO CASTRO TEL 70211681","10.157.0.0","16","192.168.11.44","30","","","","17300942"
"Puntarenas, Barranca, en las instalaciones del nuevo Hospital Monseñor Sanabria.","0.0.0.0","16","192.168.16.164","30","","","","17300034"
"OFICINAS CENTRALES DE LA CCSS, EDIFICIO ANEXO GENARO VALVERDE","0.0.0.0","24","192.168.205.0","29","","","","17380800"
"Ave 2 y 4 calles 5 y 7 Oficinas Centrales CCSS","0.0.0.0","24","192.168.206.0","30","","","","17300020"
"TURRIALBA, NUEVO HOSPITAL DE TURRIALBA EN BARRIO LA SUSANITA. CONTACTO EN SITIO EGIDEZ GOMEZ UMANA DE LA EMPRESA INGELECTRA, TEL 88149705 / DAVID CHAVES TEL 87121434","10.65.0.0","17","192.168.22.49","30","","","","17301081"
